tick,forest_burnt,forest_burnt_perc,oak_trees_burnt,pine_trees_burnt,no_sparks,mean_temperature,max_temperature
0,1,0.001841620626151013,1,0,0,20,20
1,1,0.001841620626151013,1,0,0,20.00275482093664,21
2,1,0.001841620626151013,1,0,0,20.005509641873278,22
3,1,0.001841620626151013,1,0,0,20.00826446280992,23
4,1,0.001841620626151013,1,0,0,20.011019283746556,24
5,1,0.001841620626151013,1,0,0,20.013774104683197,25
6,1,0.001841620626151013,1,0,0,20.016528925619834,26
7,1,0.001841620626151013,1,0,0,20.019283746556475,27
8,1,0.001841620626151013,1,0,0,20.022038567493112,28
9,1,0.001841620626151013,1,0,0,20.024793388429753,29
10,1,0.001841620626151013,1,0,0,20.02754820936639,30
11,1,0.001841620626151013,1,0,0,20.03030303030303,31
12,1,0.001841620626151013,1,0,0,20.03305785123967,32
13,1,0.001841620626151013,1,0,0,20.03581267217631,33
14,1,0.001841620626151013,1,0,0,20.038567493112946,34
15,1,0.001841620626151013,1,0,0,20.041322314049587,35
16,1,0.001841620626151013,1,0,0,20.044077134986225,36
17,1,0.001841620626151013,1,0,0,20.046831955922865,37
18,1,0.001841620626151013,1,0,0,20.049586776859503,38
19,1,0.001841620626151013,1,0,0,20.052341597796143,39
20,1,0.001841620626151013,1,0,0,20.05509641873278,40
21,1,0.001841620626151013,1,0,0,20.05785123966942,41
22,1,0.001841620626151013,1,0,0,20.060606060606062,42
23,1,0.001841620626151013,1,0,0,20.0633608815427,43
24,1,0.001841620626151013,1,0,0,20.06611570247934,44
25,1,0.001841620626151013,1,0,0,20.068870523415978,45
26,1,0.001841620626151013,1,0,0,20.07162534435262,46
27,1,0.001841620626151013,1,0,0,20.074380165289256,47
28,1,0.001841620626151013,1,0,0,20.077134986225897,48
29,1,0.001841620626151013,1,0,0,20.079889807162534,49
30,1,0.001841620626151013,1,0,0,20.082644628099175,50
31,1,0.001841620626151013,1,0,0,20.085399449035812,51
32,1,0.001841620626151013,1,0,0,20.088154269972453,52
33,1,0.001841620626151013,1,0,0,20.09090909090909,53
34,1,0.001841620626151013,1,0,0,20.09366391184573,54
35,1,0.001841620626151013,1,0,0,20.096418732782368,55
36,1,0.001841620626151013,1,0,0,20.09917355371901,56
37,1,0.001841620626151013,1,0,0,20.101928374655646,57
38,1,0.001841620626151013,1,0,0,20.104683195592287,58
39,1,0.001841620626151013,1,0,0,20.107438016528924,59
40,1,0.001841620626151013,1,0,0,20.110192837465565,60
41,1,0.001841620626151013,1,0,0,20.112947658402202,61
42,1,0.001841620626151013,1,0,0,20.115702479338843,62
43,1,0.001841620626151013,1,0,0,20.118457300275484,63
44,1,0.001841620626151013,1,0,0,20.12121212121212,64
45,1,0.001841620626151013,1,0,0,20.123966942148762,65
46,1,0.001841620626151013,1,0,0,20.1267217630854,66
47,1,0.001841620626151013,1,0,0,20.12947658402204,67
48,1,0.001841620626151013,1,0,0,20.132231404958677,68
49,1,0.001841620626151013,1,0,0,20.134986225895318,69
50,1,0.001841620626151013,1,0,0,20.137741046831955,70
51,1,0.001841620626151013,1,0,0,20.140495867768596,71
52,1,0.001841620626151013,1,0,0,20.143250688705233,72
53,1,0.001841620626151013,1,0,0,20.146005509641874,73
54,1,0.001841620626151013,1,0,0,20.14876033057851,74
55,1,0.001841620626151013,1,0,0,20.151515151515152,75
56,1,0.001841620626151013,1,0,0,20.15426997245179,76
57,1,0.001841620626151013,1,0,0,20.15702479338843,77
58,1,0.001841620626151013,1,0,0,20.159779614325068,78
59,1,0.001841620626151013,1,0,0,20.16253443526171,79
60,1,0.001841620626151013,1,0,0,20.165289256198346,80
61,1,0.001841620626151013,1,0,0,20.168044077134986,81
62,1,0.001841620626151013,1,0,0,20.170798898071624,82
63,1,0.001841620626151013,1,0,0,20.173553719008265,83
64,1,0.001841620626151013,1,0,0,20.176308539944902,84
65,1,0.001841620626151013,1,0,0,20.179063360881543,85
66,1,0.001841620626151013,1,0,0,20.181818181818183,86
67,1,0.001841620626151013,1,0,0,20.18457300275482,87
68,1,0.001841620626151013,1,0,0,20.18732782369146,88
69,1,0.001841620626151013,1,0,0,20.1900826446281,89
70,1,0.001841620626151013,1,0,0,20.19283746556474,90
71,1,0.001841620626151013,1,0,0,20.195592286501377,91
72,1,0.001841620626151013,1,0,0,20.198347107438018,92
73,1,0.001841620626151013,1,0,0,20.201101928374655,93
74,1,0.001841620626151013,1,0,0,20.203856749311296,94
75,1,0.001841620626151013,1,0,0,20.206611570247933,95
76,1,0.001841620626151013,1,0,0,20.209366391184574,96
77,1,0.001841620626151013,1,0,0,20.21212121212121,97
78,1,0.001841620626151013,1,0,0,20.214876033057852,98
79,1,0.001841620626151013,1,0,0,20.21763085399449,99
80,1,0.001841620626151013,1,0,0,20.22038567493113,100
81,1,0.001841620626151013,1,0,0,20.223140495867767,101
82,1,0.001841620626151013,1,0,0,20.225895316804408,102
83,1,0.001841620626151013,1,0,0,20.228650137741045,103
84,1,0.001841620626151013,1,0,0,20.231404958677686,104
85,1,0.001841620626151013,1,0,0,20.234159779614323,105
86,1,0.001841620626151013,1,0,0,20.236914600550964,106
87,1,0.001841620626151013,1,0,0,20.239669421487605,107
88,1,0.001841620626151013,1,0,0,20.242424242424242,108
89,1,0.001841620626151013,1,0,0,20.245179063360883,109
90,1,0.001841620626151013,1,0,0,20.24793388429752,110
91,1,0.001841620626151013,1,0,0,20.25068870523416,111
92,1,0.001841620626151013,1,0,0,20.2534435261708,112
93,1,0.001841620626151013,1,0,0,20.25619834710744,113
94,1,0.001841620626151013,1,0,0,20.258953168044076,114
95,1,0.001841620626151013,1,0,0,20.261707988980717,115
96,1,0.001841620626151013,1,0,0,20.264462809917354,116
97,1,0.001841620626151013,1,0,0,20.267217630853995,117
98,1,0.001841620626151013,1,0,0,20.269972451790633,118
99,1,0.001841620626151013,1,0,0,20.272727272727273,119
100,1,0.001841620626151013,1,0,0,20.27548209366391,120
101,7,0.01289134438305709,6,1,0,20.294765840220386,122.5
102,7,0.01289134438305709,6,1,0,20.31404958677686,125
103,7,0.01289134438305709,6,1,0,20.333333333333332,127.5
104,8,0.014732965009208104,7,1,0,20.355371900826448,130.25
105,8,0.014732965009208104,7,1,0,20.37741046831956,133
106,8,0.014732965009208104,7,1,0,20.399449035812673,135.75
107,8,0.014732965009208104,7,1,0,20.421487603305785,138.5
108,8,0.014732965009208104,7,1,0,20.443526170798897,141.25
109,8,0.014732965009208104,7,1,0,20.46556473829201,144
110,8,0.014732965009208104,7,1,0,20.487603305785125,146.75
111,8,0.014732965009208104,7,1,0,20.509641873278238,149.5
112,8,0.014732965009208104,7,1,0,20.53168044077135,152.25
113,8,0.014732965009208104,7,1,0,20.553719008264462,155
114,8,0.014732965009208104,7,1,0,20.575757575757574,157.75
115,8,0.014732965009208104,7,1,0,20.59779614325069,160.5
116,8,0.014732965009208104,7,1,0,20.619834710743802,163.25
117,8,0.014732965009208104,7,1,0,20.641873278236915,166
118,8,0.014732965009208104,7,1,0,20.663911845730027,168.75
119,8,0.014732965009208104,7,1,0,20.68595041322314,171.5
120,8,0.014732965009208104,7,1,0,20.707988980716255,174.25
121,8,0.014732965009208104,7,1,0,20.730027548209367,177
122,8,0.014732965009208104,7,1,0,20.75206611570248,179.75
123,8,0.014732965009208104,7,1,0,20.774104683195592,182.5
124,8,0.014732965009208104,7,1,0,20.796143250688704,185.25
125,8,0.014732965009208104,7,1,0,20.818181818181817,188
126,8,0.014732965009208104,7,1,0,20.840220385674932,190.75
127,8,0.014732965009208104,7,1,0,20.862258953168045,193.5
128,8,0.014732965009208104,7,1,0,20.884297520661157,196.25
129,8,0.014732965009208104,7,1,0,20.90633608815427,199
130,8,0.014732965009208104,7,1,0,20.92837465564738,201.75
131,8,0.014732965009208104,7,1,0,20.950413223140497,204.5
132,8,0.014732965009208104,7,1,0,20.97245179063361,207.25
133,8,0.014732965009208104,7,1,0,20.994490358126722,210
134,8,0.014732965009208104,7,1,0,21.016528925619834,212.75
135,9,0.016574585635359115,8,1,0,21.041322314049587,215.5
136,11,0.020257826887661142,10,1,0,21.07162534435262,218.25
137,11,0.020257826887661142,10,1,0,21.101928374655646,221
138,11,0.020257826887661142,10,1,0,21.132231404958677,223.75
139,11,0.020257826887661142,10,1,0,21.16253443526171,226.5
140,11,0.020257826887661142,10,1,0,21.19283746556474,229.25
141,11,0.020257826887661142,10,1,0,21.223140495867767,232
142,11,0.020257826887661142,10,1,0,21.2534435261708,234.75
143,11,0.020257826887661142,10,1,0,21.28374655647383,237.5
144,11,0.020257826887661142,10,1,0,21.31404958677686,240.25
145,11,0.020257826887661142,10,1,0,21.34435261707989,243
146,11,0.020257826887661142,10,1,0,21.37465564738292,245.75
147,11,0.020257826887661142,10,1,0,21.40495867768595,248.5
148,11,0.020257826887661142,10,1,0,21.435261707988982,251.25
149,11,0.020257826887661142,10,1,0,21.46556473829201,254
150,11,0.020257826887661142,10,1,0,21.49586776859504,256.75
151,11,0.020257826887661142,10,1,0,21.52617079889807,259.5
152,11,0.020257826887661142,10,1,0,21.556473829201103,262.25
153,11,0.020257826887661142,10,1,0,21.58677685950413,265
154,11,0.020257826887661142,10,1,0,21.61707988980716,267.75
155,11,0.020257826887661142,10,1,0,21.647382920110193,270.5
156,11,0.020257826887661142,10,1,0,21.677685950413224,273.25
157,11,0.020257826887661142,10,1,0,21.707988980716255,276
158,11,0.020257826887661142,10,1,0,21.738292011019283,278.75
159,11,0.020257826887661142,10,1,0,21.768595041322314,281.5
160,11,0.020257826887661142,10,1,0,21.798898071625345,284.25
161,11,0.020257826887661142,10,1,0,21.829201101928376,287
162,11,0.020257826887661142,10,1,0,21.859504132231404,289.75
163,11,0.020257826887661142,10,1,0,21.889807162534435,292.5
164,11,0.020257826887661142,10,1,0,21.920110192837466,295.25
165,11,0.020257826887661142,10,1,0,21.950413223140497,298
166,11,0.020257826887661142,10,1,0,21.980716253443525,300.75
167,11,0.020257826887661142,10,1,0,22.011019283746556,303.5
168,11,0.020257826887661142,10,1,0,22.041322314049587,306.25
169,11,0.020257826887661142,10,1,0,22.07162534435262,309
170,11,0.020257826887661142,10,1,0,22.101928374655646,311.75
171,11,0.020257826887661142,10,1,0,22.132231404958677,314.5
172,11,0.020257826887661142,10,1,0,22.16253443526171,317.25
173,11,0.020257826887661142,10,1,0,22.19283746556474,320
174,11,0.020257826887661142,10,1,0,22.223140495867767,322.75
175,11,0.020257826887661142,10,1,0,22.2534435261708,325.5
176,11,0.020257826887661142,10,1,0,22.28374655647383,328.25
177,11,0.020257826887661142,10,1,0,22.31404958677686,331
178,11,0.020257826887661142,10,1,0,22.34435261707989,333.75
179,11,0.020257826887661142,10,1,0,22.37465564738292,336.5
180,11,0.020257826887661142,10,1,0,22.40495867768595,339.25
181,11,0.020257826887661142,10,1,0,22.435261707988982,342
182,11,0.020257826887661142,10,1,0,22.46556473829201,344.75
183,11,0.020257826887661142,10,1,0,22.49586776859504,347.5
184,11,0.020257826887661142,10,1,0,22.52617079889807,350.25
185,11,0.020257826887661142,10,1,0,22.556473829201103,353
186,11,0.020257826887661142,10,1,0,22.58677685950413,355.75
187,11,0.020257826887661142,10,1,0,22.61707988980716,358.5
188,11,0.020257826887661142,10,1,0,22.647382920110193,361.25
189,11,0.020257826887661142,10,1,0,22.677685950413224,364
