tick,forest_burnt,forest_burnt_perc,oak_trees_burnt,pine_trees_burnt,no_sparks,mean_temperature,max_temperature
0,1,0.001841620626151013,1,0,0,20,20
1,1,0.001841620626151013,1,0,0,20.00275482093664,21
2,1,0.001841620626151013,1,0,0,20.005509641873278,22
3,1,0.001841620626151013,1,0,0,20.00826446280992,23
4,1,0.001841620626151013,1,0,0,20.011019283746556,24
5,1,0.001841620626151013,1,0,0,20.013774104683197,25
6,1,0.001841620626151013,1,0,0,20.016528925619834,26
7,1,0.001841620626151013,1,0,0,20.019283746556475,27
8,1,0.001841620626151013,1,0,0,20.022038567493112,28
9,1,0.001841620626151013,1,0,0,20.024793388429753,29
10,1,0.001841620626151013,1,0,0,20.02754820936639,30
11,1,0.001841620626151013,1,0,0,20.03030303030303,31
12,1,0.001841620626151013,1,0,0,20.03305785123967,32
13,1,0.001841620626151013,1,0,0,20.03581267217631,33
14,1,0.001841620626151013,1,0,0,20.038567493112946,34
15,1,0.001841620626151013,1,0,0,20.041322314049587,35
16,1,0.001841620626151013,1,0,0,20.044077134986225,36
17,1,0.001841620626151013,1,0,0,20.046831955922865,37
18,1,0.001841620626151013,1,0,0,20.049586776859503,38
19,1,0.001841620626151013,1,0,0,20.052341597796143,39
20,1,0.001841620626151013,1,0,0,20.05509641873278,40
21,1,0.001841620626151013,1,0,0,20.05785123966942,41
22,1,0.001841620626151013,1,0,0,20.060606060606062,42
23,1,0.001841620626151013,1,0,0,20.0633608815427,43
24,1,0.001841620626151013,1,0,0,20.06611570247934,44
25,1,0.001841620626151013,1,0,0,20.068870523415978,45
26,1,0.001841620626151013,1,0,0,20.07162534435262,46
27,1,0.001841620626151013,1,0,0,20.074380165289256,47
28,1,0.001841620626151013,1,0,0,20.077134986225897,48
29,1,0.001841620626151013,1,0,0,20.079889807162534,49
30,1,0.001841620626151013,1,0,0,20.082644628099175,50
31,1,0.001841620626151013,1,0,0,20.085399449035812,51
32,1,0.001841620626151013,1,0,0,20.088154269972453,52
33,1,0.001841620626151013,1,0,0,20.09090909090909,53
34,1,0.001841620626151013,1,0,0,20.09366391184573,54
35,1,0.001841620626151013,1,0,0,20.096418732782368,55
36,1,0.001841620626151013,1,0,0,20.09917355371901,56
37,1,0.001841620626151013,1,0,0,20.101928374655646,57
38,1,0.001841620626151013,1,0,0,20.104683195592287,58
39,1,0.001841620626151013,1,0,0,20.107438016528924,59
40,1,0.001841620626151013,1,0,0,20.110192837465565,60
41,1,0.001841620626151013,1,0,0,20.112947658402202,61
42,1,0.001841620626151013,1,0,0,20.115702479338843,62
43,1,0.001841620626151013,1,0,0,20.118457300275484,63
44,1,0.001841620626151013,1,0,0,20.12121212121212,64
45,1,0.001841620626151013,1,0,0,20.123966942148762,65
46,1,0.001841620626151013,1,0,0,20.1267217630854,66
47,1,0.001841620626151013,1,0,0,20.12947658402204,67
48,1,0.001841620626151013,1,0,0,20.132231404958677,68
49,1,0.001841620626151013,1,0,0,20.134986225895318,69
50,1,0.001841620626151013,1,0,0,20.137741046831955,70
51,1,0.001841620626151013,1,0,0,20.140495867768596,71
52,1,0.001841620626151013,1,0,0,20.143250688705233,72
53,1,0.001841620626151013,1,0,0,20.146005509641874,73
54,1,0.001841620626151013,1,0,0,20.14876033057851,74
55,1,0.001841620626151013,1,0,0,20.151515151515152,75
56,1,0.001841620626151013,1,0,0,20.15426997245179,76
57,1,0.001841620626151013,1,0,0,20.15702479338843,77
58,1,0.001841620626151013,1,0,0,20.159779614325068,78
59,1,0.001841620626151013,1,0,0,20.16253443526171,79
60,1,0.001841620626151013,1,0,0,20.165289256198346,80
61,1,0.001841620626151013,1,0,0,20.168044077134986,81
62,1,0.001841620626151013,1,0,0,20.170798898071624,82
63,1,0.001841620626151013,1,0,0,20.173553719008265,83
64,1,0.001841620626151013,1,0,0,20.176308539944902,84
65,1,0.001841620626151013,1,0,0,20.179063360881543,85
66,1,0.001841620626151013,1,0,0,20.181818181818183,86
67,1,0.001841620626151013,1,0,0,20.18457300275482,87
68,1,0.001841620626151013,1,0,0,20.18732782369146,88
69,1,0.001841620626151013,1,0,0,20.1900826446281,89
70,1,0.001841620626151013,1,0,0,20.19283746556474,90
71,1,0.001841620626151013,1,0,0,20.195592286501377,91
72,1,0.001841620626151013,1,0,0,20.198347107438018,92
73,1,0.001841620626151013,1,0,0,20.201101928374655,93
74,1,0.001841620626151013,1,0,0,20.203856749311296,94
75,1,0.001841620626151013,1,0,0,20.206611570247933,95
76,1,0.001841620626151013,1,0,0,20.209366391184574,96
77,1,0.001841620626151013,1,0,0,20.21212121212121,97
78,1,0.001841620626151013,1,0,0,20.214876033057852,98
79,1,0.001841620626151013,1,0,0,20.21763085399449,99
80,1,0.001841620626151013,1,0,0,20.22038567493113,100
81,1,0.001841620626151013,1,0,0,20.223140495867767,101
82,1,0.001841620626151013,1,0,0,20.225895316804408,102
83,1,0.001841620626151013,1,0,0,20.228650137741045,103
84,1,0.001841620626151013,1,0,0,20.231404958677686,104
85,1,0.001841620626151013,1,0,0,20.234159779614323,105
86,1,0.001841620626151013,1,0,0,20.236914600550964,106
87,1,0.001841620626151013,1,0,0,20.239669421487605,107
88,1,0.001841620626151013,1,0,0,20.242424242424242,108
89,1,0.001841620626151013,1,0,0,20.245179063360883,109
90,1,0.001841620626151013,1,0,0,20.24793388429752,110
91,1,0.001841620626151013,1,0,0,20.25068870523416,111
92,1,0.001841620626151013,1,0,0,20.2534435261708,112
93,1,0.001841620626151013,1,0,0,20.25619834710744,113
94,1,0.001841620626151013,1,0,0,20.258953168044076,114
95,1,0.001841620626151013,1,0,0,20.261707988980717,115
96,1,0.001841620626151013,1,0,0,20.264462809917354,116
97,1,0.001841620626151013,1,0,0,20.267217630853995,117
98,1,0.001841620626151013,1,0,0,20.269972451790633,118
99,1,0.001841620626151013,1,0,0,20.272727272727273,119
100,1,0.001841620626151013,1,0,0,20.27548209366391,120
101,3,0.0055248618784530384,3,0,0,20.28374655647383,121.5
102,5,0.009208103130755065,4,1,0,20.297520661157026,123.5
103,5,0.009208103130755065,4,1,0,20.31129476584022,125.5
104,8,0.014732965009208104,7,1,0,20.333333333333332,128.25
105,8,0.014732965009208104,7,1,0,20.355371900826448,131
106,8,0.014732965009208104,7,1,0,20.37741046831956,133.75
107,8,0.014732965009208104,7,1,0,20.399449035812673,136.5
108,8,0.014732965009208104,7,1,0,20.421487603305785,139.25
109,8,0.014732965009208104,7,1,0,20.443526170798897,142
110,8,0.014732965009208104,7,1,0,20.46556473829201,144.75
111,8,0.014732965009208104,7,1,0,20.487603305785125,147.5
112,8,0.014732965009208104,7,1,0,20.509641873278238,150.25
113,8,0.014732965009208104,7,1,0,20.53168044077135,153
114,8,0.014732965009208104,7,1,0,20.553719008264462,155.75
115,8,0.014732965009208104,7,1,0,20.575757575757574,158.5
116,8,0.014732965009208104,7,1,0,20.59779614325069,161.25
117,8,0.014732965009208104,7,1,0,20.619834710743802,164
118,8,0.014732965009208104,7,1,0,20.641873278236915,166.75
119,8,0.014732965009208104,7,1,0,20.663911845730027,169.5
120,8,0.014732965009208104,7,1,0,20.68595041322314,172.25
121,8,0.014732965009208104,7,1,0,20.707988980716255,175
122,8,0.014732965009208104,7,1,0,20.730027548209367,177.75
123,8,0.014732965009208104,7,1,0,20.75206611570248,180.5
124,8,0.014732965009208104,7,1,0,20.774104683195592,183.25
125,8,0.014732965009208104,7,1,0,20.796143250688704,186
126,8,0.014732965009208104,7,1,0,20.818181818181817,188.75
127,8,0.014732965009208104,7,1,0,20.840220385674932,191.5
128,8,0.014732965009208104,7,1,0,20.862258953168045,194.25
129,8,0.014732965009208104,7,1,0,20.884297520661157,197
130,8,0.014732965009208104,7,1,0,20.90633608815427,199.75
131,8,0.014732965009208104,7,1,0,20.92837465564738,202.5
132,8,0.014732965009208104,7,1,0,20.950413223140497,205.25
133,8,0.014732965009208104,7,1,0,20.97245179063361,208
134,8,0.014732965009208104,7,1,0,20.994490358126722,210.75
135,8,0.014732965009208104,7,1,0,21.016528925619834,213.5
136,11,0.020257826887661142,10,1,0,21.046831955922865,216.25
137,11,0.020257826887661142,10,1,0,21.077134986225897,219
138,11,0.020257826887661142,10,1,0,21.107438016528924,221.75
139,11,0.020257826887661142,10,1,0,21.137741046831955,224.5
140,11,0.020257826887661142,10,1,0,21.168044077134986,227.25
141,11,0.020257826887661142,10,1,0,21.198347107438018,230
142,11,0.020257826887661142,10,1,0,21.228650137741045,232.75
143,11,0.020257826887661142,10,1,0,21.258953168044076,235.5
144,11,0.020257826887661142,10,1,0,21.289256198347108,238.25
145,11,0.020257826887661142,10,1,0,21.31955922865014,241
146,11,0.020257826887661142,10,1,0,21.349862258953166,243.75
147,11,0.020257826887661142,10,1,0,21.380165289256198,246.5
148,11,0.020257826887661142,10,1,0,21.41046831955923,249.25
149,11,0.020257826887661142,10,1,0,21.44077134986226,252
150,11,0.020257826887661142,10,1,0,21.47107438016529,254.75
151,11,0.020257826887661142,10,1,0,21.50137741046832,257.5
152,11,0.020257826887661142,10,1,0,21.53168044077135,260.25
153,11,0.020257826887661142,10,1,0,21.56198347107438,263
154,11,0.020257826887661142,10,1,0,21.592286501377412,265.75
155,11,0.020257826887661142,10,1,0,21.62258953168044,268.5
156,11,0.020257826887661142,10,1,0,21.65289256198347,271.25
157,11,0.020257826887661142,10,1,0,21.683195592286502,274
158,11,0.020257826887661142,10,1,0,21.713498622589533,276.75
159,11,0.020257826887661142,10,1,0,21.74380165289256,279.5
160,11,0.020257826887661142,10,1,0,21.774104683195592,282.25
161,11,0.020257826887661142,10,1,0,21.804407713498623,285
162,11,0.020257826887661142,10,1,0,21.834710743801654,287.75
163,11,0.020257826887661142,10,1,0,21.865013774104682,290.5
164,11,0.020257826887661142,10,1,0,21.895316804407713,293.25
165,11,0.020257826887661142,10,1,0,21.925619834710744,296
166,11,0.020257826887661142,10,1,0,21.955922865013775,298.75
167,11,0.020257826887661142,10,1,0,21.986225895316803,301.5
168,11,0.020257826887661142,10,1,0,22.016528925619834,304.25
169,11,0.020257826887661142,10,1,0,22.046831955922865,307
170,11,0.020257826887661142,10,1,0,22.077134986225897,309.75
171,11,0.020257826887661142,10,1,0,22.107438016528924,312.5
172,11,0.020257826887661142,10,1,0,22.137741046831955,315.25
173,11,0.020257826887661142,10,1,0,22.168044077134986,318
174,11,0.020257826887661142,10,1,0,22.198347107438018,320.75
175,11,0.020257826887661142,10,1,0,22.228650137741045,323.5
176,11,0.020257826887661142,10,1,0,22.258953168044076,326.25
177,11,0.020257826887661142,10,1,0,22.289256198347108,329
178,11,0.020257826887661142,10,1,0,22.31955922865014,331.75
179,11,0.020257826887661142,10,1,0,22.349862258953166,334.5
180,11,0.020257826887661142,10,1,0,22.380165289256198,337.25
181,11,0.020257826887661142,10,1,0,22.41046831955923,340
182,11,0.020257826887661142,10,1,0,22.44077134986226,342.75
183,11,0.020257826887661142,10,1,0,22.47107438016529,345.5
184,11,0.020257826887661142,10,1,0,22.50137741046832,348.25
185,11,0.020257826887661142,10,1,0,22.53168044077135,351
186,11,0.020257826887661142,10,1,0,22.56198347107438,353.75
187,11,0.020257826887661142,10,1,0,22.592286501377412,356.5
188,11,0.020257826887661142,10,1,0,22.62258953168044,359.25
189,11,0.020257826887661142,10,1,0,22.65289256198347,362
