tick,forest_burnt,forest_burnt_perc,oak_trees_burnt,pine_trees_burnt,no_sparks,mean_temperature,max_temperature
0,1,0.001841620626151013,1,0,0,20,20
1,1,0.001841620626151013,1,0,0,20.00275482093664,21
2,1,0.001841620626151013,1,0,0,20.005509641873278,22
3,1,0.001841620626151013,1,0,0,20.00826446280992,23
4,1,0.001841620626151013,1,0,0,20.011019283746556,24
5,1,0.001841620626151013,1,0,0,20.013774104683197,25
6,1,0.001841620626151013,1,0,0,20.016528925619834,26
7,1,0.001841620626151013,1,0,0,20.019283746556475,27
8,1,0.001841620626151013,1,0,0,20.022038567493112,28
9,1,0.001841620626151013,1,0,0,20.024793388429753,29
10,1,0.001841620626151013,1,0,0,20.02754820936639,30
11,1,0.001841620626151013,1,0,0,20.03030303030303,31
12,1,0.001841620626151013,1,0,0,20.03305785123967,32
13,1,0.001841620626151013,1,0,0,20.03581267217631,33
14,1,0.001841620626151013,1,0,0,20.038567493112946,34
15,1,0.001841620626151013,1,0,0,20.041322314049587,35
16,1,0.001841620626151013,1,0,0,20.044077134986225,36
17,1,0.001841620626151013,1,0,0,20.046831955922865,37
18,1,0.001841620626151013,1,0,0,20.049586776859503,38
19,1,0.001841620626151013,1,0,0,20.052341597796143,39
20,1,0.001841620626151013,1,0,0,20.05509641873278,40
21,1,0.001841620626151013,1,0,0,20.05785123966942,41
22,1,0.001841620626151013,1,0,0,20.060606060606062,42
23,1,0.001841620626151013,1,0,0,20.0633608815427,43
24,1,0.001841620626151013,1,0,0,20.06611570247934,44
25,1,0.001841620626151013,1,0,0,20.068870523415978,45
26,1,0.001841620626151013,1,0,0,20.07162534435262,46
27,1,0.001841620626151013,1,0,0,20.074380165289256,47
28,1,0.001841620626151013,1,0,0,20.077134986225897,48
29,1,0.001841620626151013,1,0,0,20.079889807162534,49
30,1,0.001841620626151013,1,0,0,20.082644628099175,50
31,1,0.001841620626151013,1,0,0,20.085399449035812,51
32,1,0.001841620626151013,1,0,0,20.088154269972453,52
33,1,0.001841620626151013,1,0,0,20.09090909090909,53
34,1,0.001841620626151013,1,0,0,20.09366391184573,54
35,1,0.001841620626151013,1,0,0,20.096418732782368,55
36,1,0.001841620626151013,1,0,0,20.09917355371901,56
37,1,0.001841620626151013,1,0,0,20.101928374655646,57
38,1,0.001841620626151013,1,0,0,20.104683195592287,58
39,1,0.001841620626151013,1,0,0,20.107438016528924,59
40,1,0.001841620626151013,1,0,0,20.110192837465565,60
41,1,0.001841620626151013,1,0,0,20.112947658402202,61
42,1,0.001841620626151013,1,0,0,20.115702479338843,62
43,1,0.001841620626151013,1,0,0,20.118457300275484,63
44,1,0.001841620626151013,1,0,0,20.12121212121212,64
45,1,0.001841620626151013,1,0,0,20.123966942148762,65
46,1,0.001841620626151013,1,0,0,20.1267217630854,66
47,1,0.001841620626151013,1,0,0,20.12947658402204,67
48,1,0.001841620626151013,1,0,0,20.132231404958677,68
49,1,0.001841620626151013,1,0,0,20.134986225895318,69
50,1,0.001841620626151013,1,0,0,20.137741046831955,70
51,1,0.001841620626151013,1,0,0,20.140495867768596,71
52,1,0.001841620626151013,1,0,0,20.143250688705233,72
53,1,0.001841620626151013,1,0,0,20.146005509641874,73
54,1,0.001841620626151013,1,0,0,20.14876033057851,74
55,1,0.001841620626151013,1,0,0,20.151515151515152,75
56,1,0.001841620626151013,1,0,0,20.15426997245179,76
57,1,0.001841620626151013,1,0,0,20.15702479338843,77
58,1,0.001841620626151013,1,0,0,20.159779614325068,78
59,1,0.001841620626151013,1,0,0,20.16253443526171,79
60,1,0.001841620626151013,1,0,0,20.165289256198346,80
61,1,0.001841620626151013,1,0,0,20.168044077134986,81
62,1,0.001841620626151013,1,0,0,20.170798898071624,82
63,1,0.001841620626151013,1,0,0,20.173553719008265,83
64,1,0.001841620626151013,1,0,0,20.176308539944902,84
65,1,0.001841620626151013,1,0,0,20.179063360881543,85
66,1,0.001841620626151013,1,0,0,20.181818181818183,86
67,1,0.001841620626151013,1,0,0,20.18457300275482,87
68,1,0.001841620626151013,1,0,0,20.18732782369146,88
69,1,0.001841620626151013,1,0,0,20.1900826446281,89
70,1,0.001841620626151013,1,0,0,20.19283746556474,90
71,1,0.001841620626151013,1,0,0,20.195592286501377,91
72,1,0.001841620626151013,1,0,0,20.198347107438018,92
73,1,0.001841620626151013,1,0,0,20.201101928374655,93
74,1,0.001841620626151013,1,0,0,20.203856749311296,94
75,1,0.001841620626151013,1,0,0,20.206611570247933,95
76,1,0.001841620626151013,1,0,0,20.209366391184574,96
77,1,0.001841620626151013,1,0,0,20.21212121212121,97
78,1,0.001841620626151013,1,0,0,20.214876033057852,98
79,1,0.001841620626151013,1,0,0,20.21763085399449,99
80,1,0.001841620626151013,1,0,0,20.22038567493113,100
81,1,0.001841620626151013,1,0,0,20.223140495867767,101
82,1,0.001841620626151013,1,0,0,20.225895316804408,102
83,1,0.001841620626151013,1,0,0,20.228650137741045,103
84,1,0.001841620626151013,1,0,0,20.231404958677686,104
85,1,0.001841620626151013,1,0,0,20.234159779614323,105
86,1,0.001841620626151013,1,0,0,20.236914600550964,106
87,1,0.001841620626151013,1,0,0,20.239669421487605,107
88,1,0.001841620626151013,1,0,0,20.242424242424242,108
89,1,0.001841620626151013,1,0,0,20.245179063360883,109
90,1,0.001841620626151013,1,0,0,20.24793388429752,110
91,1,0.001841620626151013,1,0,0,20.25068870523416,111
92,1,0.001841620626151013,1,0,0,20.2534435261708,112
93,1,0.001841620626151013,1,0,0,20.25619834710744,113
94,1,0.001841620626151013,1,0,0,20.258953168044076,114
95,1,0.001841620626151013,1,0,0,20.261707988980717,115
96,1,0.001841620626151013,1,0,0,20.264462809917354,116
97,1,0.001841620626151013,1,0,0,20.267217630853995,117
98,1,0.001841620626151013,1,0,0,20.269972451790633,118
99,1,0.001841620626151013,1,0,0,20.272727272727273,119
100,1,0.001841620626151013,1,0,0,20.27548209366391,120
101,6,0.011049723756906077,6,0,0,20.292011019283745,122.25
102,6,0.011049723756906077,6,0,0,20.308539944903583,124.5
103,8,0.014732965009208104,7,1,0,20.330578512396695,127.25
104,8,0.014732965009208104,7,1,0,20.352617079889807,130
105,8,0.014732965009208104,7,1,0,20.37465564738292,132.75
106,8,0.014732965009208104,7,1,0,20.39669421487603,135.5
107,8,0.014732965009208104,7,1,0,20.418732782369148,138.25
108,8,0.014732965009208104,7,1,0,20.44077134986226,141
109,8,0.014732965009208104,7,1,0,20.462809917355372,143.75
110,8,0.014732965009208104,7,1,0,20.484848484848484,146.5
111,8,0.014732965009208104,7,1,0,20.506887052341597,149.25
112,8,0.014732965009208104,7,1,0,20.52892561983471,152
113,8,0.014732965009208104,7,1,0,20.550964187327825,154.75
114,8,0.014732965009208104,7,1,0,20.573002754820937,157.5
115,8,0.014732965009208104,7,1,0,20.59504132231405,160.25
116,8,0.014732965009208104,7,1,0,20.61707988980716,163
117,8,0.014732965009208104,7,1,0,20.639118457300274,165.75
118,8,0.014732965009208104,7,1,0,20.66115702479339,168.5
119,8,0.014732965009208104,7,1,0,20.683195592286502,171.25
120,8,0.014732965009208104,7,1,0,20.705234159779614,174
121,8,0.014732965009208104,7,1,0,20.727272727272727,176.75
122,8,0.014732965009208104,7,1,0,20.74931129476584,179.5
123,8,0.014732965009208104,7,1,0,20.771349862258955,182.25
124,8,0.014732965009208104,7,1,0,20.793388429752067,185
125,8,0.014732965009208104,7,1,0,20.81542699724518,187.75
126,8,0.014732965009208104,7,1,0,20.83746556473829,190.5
127,8,0.014732965009208104,7,1,0,20.859504132231404,193.25
128,8,0.014732965009208104,7,1,0,20.881542699724516,196
129,8,0.014732965009208104,7,1,0,20.903581267217632,198.75
130,8,0.014732965009208104,7,1,0,20.925619834710744,201.5
131,8,0.014732965009208104,7,1,0,20.947658402203857,204.25
132,8,0.014732965009208104,7,1,0,20.96969696969697,207
133,8,0.014732965009208104,7,1,0,20.99173553719008,209.75
134,8,0.014732965009208104,7,1,0,21.013774104683197,212.5
135,8,0.014732965009208104,7,1,0,21.03581267217631,215.25
136,8,0.014732965009208104,7,1,0,21.05785123966942,218
137,8,0.014732965009208104,7,1,0,21.079889807162534,220.75
138,10,0.01841620626151013,9,1,0,21.107438016528924,223.5
139,11,0.020257826887661142,10,1,0,21.137741046831955,226.25
140,11,0.020257826887661142,10,1,0,21.168044077134986,229
141,11,0.020257826887661142,10,1,0,21.198347107438018,231.75
142,11,0.020257826887661142,10,1,0,21.228650137741045,234.5
143,11,0.020257826887661142,10,1,0,21.258953168044076,237.25
144,11,0.020257826887661142,10,1,0,21.289256198347108,240
145,11,0.020257826887661142,10,1,0,21.31955922865014,242.75
146,11,0.020257826887661142,10,1,0,21.349862258953166,245.5
147,11,0.020257826887661142,10,1,0,21.380165289256198,248.25
148,11,0.020257826887661142,10,1,0,21.41046831955923,251
149,11,0.020257826887661142,10,1,0,21.44077134986226,253.75
150,11,0.020257826887661142,10,1,0,21.47107438016529,256.5
151,11,0.020257826887661142,10,1,0,21.50137741046832,259.25
152,11,0.020257826887661142,10,1,0,21.53168044077135,262
153,11,0.020257826887661142,10,1,0,21.56198347107438,264.75
154,11,0.020257826887661142,10,1,0,21.592286501377412,267.5
155,11,0.020257826887661142,10,1,0,21.62258953168044,270.25
156,11,0.020257826887661142,10,1,0,21.65289256198347,273
157,11,0.020257826887661142,10,1,0,21.683195592286502,275.75
158,11,0.020257826887661142,10,1,0,21.713498622589533,278.5
159,11,0.020257826887661142,10,1,0,21.74380165289256,281.25
160,11,0.020257826887661142,10,1,0,21.774104683195592,284
161,11,0.020257826887661142,10,1,0,21.804407713498623,286.75
162,11,0.020257826887661142,10,1,0,21.834710743801654,289.5
163,11,0.020257826887661142,10,1,0,21.865013774104682,292.25
164,11,0.020257826887661142,10,1,0,21.895316804407713,295
165,11,0.020257826887661142,10,1,0,21.925619834710744,297.75
166,11,0.020257826887661142,10,1,0,21.955922865013775,300.5
167,11,0.020257826887661142,10,1,0,21.986225895316803,303.25
168,11,0.020257826887661142,10,1,0,22.016528925619834,306
169,11,0.020257826887661142,10,1,0,22.046831955922865,308.75
170,11,0.020257826887661142,10,1,0,22.077134986225897,311.5
171,11,0.020257826887661142,10,1,0,22.107438016528924,314.25
172,11,0.020257826887661142,10,1,0,22.137741046831955,317
173,11,0.020257826887661142,10,1,0,22.168044077134986,319.75
174,11,0.020257826887661142,10,1,0,22.198347107438018,322.5
175,11,0.020257826887661142,10,1,0,22.228650137741045,325.25
176,11,0.020257826887661142,10,1,0,22.258953168044076,328
177,11,0.020257826887661142,10,1,0,22.289256198347108,330.75
178,11,0.020257826887661142,10,1,0,22.31955922865014,333.5
179,11,0.020257826887661142,10,1,0,22.349862258953166,336.25
180,11,0.020257826887661142,10,1,0,22.380165289256198,339
181,11,0.020257826887661142,10,1,0,22.41046831955923,341.75
182,11,0.020257826887661142,10,1,0,22.44077134986226,344.5
183,11,0.020257826887661142,10,1,0,22.47107438016529,347.25
184,11,0.020257826887661142,10,1,0,22.50137741046832,350
185,11,0.020257826887661142,10,1,0,22.53168044077135,352.75
186,11,0.020257826887661142,10,1,0,22.56198347107438,355.5
187,11,0.020257826887661142,10,1,0,22.592286501377412,358.25
188,11,0.020257826887661142,10,1,0,22.62258953168044,361
189,11,0.020257826887661142,10,1,0,22.65289256198347,363.75
